City,Country,Country_Code,Year,Month,PM25,Latitude,Longitude,Elevation,is_coast,tavg,tmin,tmax,prcp,wspd,pres,meanNDVI,Clean in %,demand in TWh,Fossil in %,Population,Area (square km),Population density,num_large_airport,num_medium_airport,num_small_airport,num_total_airports,Num_PublicTransportStops,monthly_congestion_level [%],yearly_congestion_level [%],GDP_per_capita,GDP_growth_2021-2023 in %,% Primary Sector,% Secondary Sector,% Tertiary Sector
Amsterdam,Netherlands,NLD,2024,1,"10,2","52,3730796","4,8924534",15,1,4.3,1.9,6.7,74.3,22.3,1016.4,"0,01847010817","46,84","10,7","53,16",1.736.000,487,"3564,681725",1.0,0.0,0.0,1.0,1342.0,21.0,26.0,64572,"3,79","1,72","18,75","79,53"
Amsterdam,Netherlands,NLD,2024,2,"8,2","52,3730796","4,8924534",15,1,8.1,5.7,9.9,121.5,22.1,1009.7,"0,01847010817","54,44","9,69","45,56",1.736.000,487,"3564,681725",1.0,0.0,0.0,1.0,1342.0,22.0,26.0,64572,"3,79","1,72","18,75","79,53"
Amsterdam,Netherlands,NLD,2024,3,"11,9","52,3730796","4,8924534",15,1,9.3,6.4,11.9,104.9,21.7,1011.2,"0,01847010817","53,46","9,6","46,54",1.736.000,487,"3564,681725",1.0,0.0,0.0,1.0,1342.0,26.0,26.0,64572,"3,79","1,72","18,75","79,53"
Amsterdam,Netherlands,NLD,2024,4,"5,8","52,3730796","4,8924534",15,1,10.6,7.1,14.0,87.1,21.2,1012.8,"0,01847010817","64,19","8,93","35,81",1.736.000,487,"3564,681725",1.0,0.0,0.0,1.0,1342.0,27.0,26.0,64572,"3,79","1,72","18,75","79,53"
Amsterdam,Netherlands,NLD,2024,5,"11,2","52,3730796","4,8924534",15,1,15.5,11.9,19.6,175.0,14.7,1012.4,"0,01847010817","59,11","9,16","40,87",1.736.000,487,"3564,681725",1.0,0.0,0.0,1.0,1342.0,25.0,26.0,64572,"3,79","1,72","18,75","79,53"
Amsterdam,Netherlands,NLD,2024,6,8,"52,3730796","4,8924534",15,1,15.7,12.1,19.2,65.9,15.6,1013.9,"0,01847010817","62,51","8,91","37,48",1.736.000,487,"3564,681725",1.0,0.0,0.0,1.0,1342.0,25.0,26.0,64572,"3,79","1,72","18,75","79,53"
Amsterdam,Netherlands,NLD,2024,7,"6,3","52,3730796","4,8924534",15,1,17.9,14.3,21.4,95.3,16.3,1013.9,"0,01847010817","63,68","9,33","36,32",1.736.000,487,"3564,681725",1.0,0.0,0.0,1.0,1342.0,26.0,26.0,64572,"3,79","1,72","18,75","79,53"
Amsterdam,Netherlands,NLD,2024,8,8,"52,3730796","4,8924534",15,1,19.4,15.5,23.4,86.8,15.9,1014.3,"0,01847010817","60,12","9,21","39,87",1.736.000,487,"3564,681725",1.0,0.0,0.0,1.0,1342.0,24.0,26.0,64572,"3,79","1,72","18,75","79,53"
Amsterdam,Netherlands,NLD,2024,9,"10,5","52,3730796","4,8924534",15,1,16.0,12.7,19.9,78.3,15.5,1014.1,"0,01847010817","57,09","8,93","42,9",1.736.000,487,"3564,681725",1.0,0.0,0.0,1.0,1342.0,33.0,26.0,64572,"3,79","1,72","18,75","79,53"
Amsterdam,Netherlands,NLD,2024,10,"8,4","52,3730796","4,8924534",15,1,12.3,9.4,15.4,70.1,14.5,1015.1,"0,01847010817","48,99","9,61","51,01",1.736.000,487,"3564,681725",1.0,0.0,0.0,1.0,1342.0,31.0,26.0,64572,"3,79","1,72","18,75","79,53"
Amsterdam,Netherlands,NLD,2024,11,"11,5","52,3730796","4,8924534",15,1,7.3,4.6,9.9,89.5,15.6,1019.5,"0,01847010817","39,69","10,07","60,32",1.736.000,487,"3564,681725",1.0,0.0,0.0,1.0,1342.0,30.0,26.0,64572,"3,79","1,72","18,75","79,53"
Amsterdam,Netherlands,NLD,2024,12,"10,9","52,3730796","4,8924534",15,1,6.3,4.1,8.3,89.5,20.9,1020.1,"0,01847010817","49,91","10,54","50,1",1.736.000,487,"3564,681725",1.0,0.0,0.0,1.0,1342.0,28.0,26.0,64572,"3,79","1,72","18,75","79,53"
Ankara,Turkey,TUR,2024,1,"5,9","39,9207759","32,8540497",868,0,4.2,0.8,7.3,54.7,11.6,1019.6,"0,04982942087","52,93","27,7","47,06",5.359.000,671,"7986,587183",1.0,0.0,0.0,1.0,997.0,39.0,40.0,"13105,7","7,36","6,16","23,51","70,33"
Ankara,Turkey,TUR,2024,2,"7,7","39,9207759","32,8540497",868,0,7.2,1.8,12.2,12.6,9.4,1019.4,"0,04982942087","50,05","26,44","49,95",5.359.000,671,"7986,587183",1.0,0.0,0.0,1.0,997.0,43.0,40.0,"13105,7","7,36","6,16","23,51","70,33"
Ankara,Turkey,TUR,2024,3,"8,5","39,9207759","32,8540497",868,0,8.3,2.7,13.6,27.1,9.5,1015.7,"0,04982942087","45,53","27,49","54,48",5.359.000,671,"7986,587183",1.0,0.0,0.0,1.0,997.0,40.0,40.0,"13105,7","7,36","6,16","23,51","70,33"
