city,country,country_code,year,month,pm25,latitude,longitude,elevation,is_coast,avg_temp,precipitation,wind_speed,pressure,ndvi,electricity_demand,fossil_energy,population,area,population_density,large_airport,medium_airport,small_airport,public_transport_stops,monthly_congestion_level,gdp_per_capita,gdp_growth,tertiary_sector
Amsterdam,Netherlands,NLD,2024,1,10.2,52.3730796,4.8924534,15,1,4.3,74.3,22.3,1016.4,0.01847010817,10.7,0.5316,1736000,487,3564.681725,1.0,0.0,0.0,1342.0,0.21,64572.0,0.0379,0.7953
Amsterdam,Netherlands,NLD,2024,2,8.2,52.3730796,4.8924534,15,1,8.1,121.5,22.1,1009.7,0.01847010817,9.69,0.4556,1736000,487,3564.681725,1.0,0.0,0.0,1342.0,0.22,64572.0,0.0379,0.7953
Amsterdam,Netherlands,NLD,2024,3,11.9,52.3730796,4.8924534,15,1,9.3,104.9,21.7,1011.2,0.01847010817,9.6,0.4654,1736000,487,3564.681725,1.0,0.0,0.0,1342.0,0.26,64572.0,0.0379,0.7953
Amsterdam,Netherlands,NLD,2024,4,5.8,52.3730796,4.8924534,15,1,10.6,87.1,21.2,1012.8,0.01847010817,8.93,0.35810000000000003,1736000,487,3564.681725,1.0,0.0,0.0,1342.0,0.27,64572.0,0.0379,0.7953
Amsterdam,Netherlands,NLD,2024,5,11.2,52.3730796,4.8924534,15,1,15.5,175.0,14.7,1012.4,0.01847010817,9.16,0.40869999999999995,1736000,487,3564.681725,1.0,0.0,0.0,1342.0,0.25,64572.0,0.0379,0.7953
Amsterdam,Netherlands,NLD,2024,6,8.0,52.3730796,4.8924534,15,1,15.7,65.9,15.6,1013.9,0.01847010817,8.91,0.37479999999999997,1736000,487,3564.681725,1.0,0.0,0.0,1342.0,0.25,64572.0,0.0379,0.7953
Amsterdam,Netherlands,NLD,2024,7,6.3,52.3730796,4.8924534,15,1,17.9,95.3,16.3,1013.9,0.01847010817,9.33,0.3632,1736000,487,3564.681725,1.0,0.0,0.0,1342.0,0.26,64572.0,0.0379,0.7953
Amsterdam,Netherlands,NLD,2024,8,8.0,52.3730796,4.8924534,15,1,19.4,86.8,15.9,1014.3,0.01847010817,9.21,0.3987,1736000,487,3564.681725,1.0,0.0,0.0,1342.0,0.24,64572.0,0.0379,0.7953
Amsterdam,Netherlands,NLD,2024,9,10.5,52.3730796,4.8924534,15,1,16.0,78.3,15.5,1014.1,0.01847010817,8.93,0.429,1736000,487,3564.681725,1.0,0.0,0.0,1342.0,0.33,64572.0,0.0379,0.7953
Amsterdam,Netherlands,NLD,2024,10,8.4,52.3730796,4.8924534,15,1,12.3,70.1,14.5,1015.1,0.01847010817,9.61,0.5101,1736000,487,3564.681725,1.0,0.0,0.0,1342.0,0.31,64572.0,0.0379,0.7953
